NUMBER	TEAM	WIN_TOTAL	Over_Juice	Under_JUICE	POT	EOS_ELO	PLAYOFFS_2022	PLAYOFFS_2022
1	Kansas_City_Chiefs	11.5	-110	-110	1	1733	TRUE	TRUE
2	Cincinnati_Bengals	11.5	-110	-110	1	1688	TRUE	TRUE
3	San_Francisco_49ers	11.5	-105	-115	1	1644	TRUE	TRUE
4	Philadelphia_Eagles	10.5	-130	110	1	1677	TRUE	TRUE
5	Buffalo_Bills	10.5	-125	105	1	1664	TRUE	TRUE
6	Jacksonville_Jaguars	9.5	-140	120	1	1531	TRUE	TRUE
7	New_York_Jets	9.5	-120	100	1	1386	FALSE	FALSE
8	Los_Angeles_Chargers	9.5	-115	-105	1	1535	TRUE	TRUE
9	Dallas_Cowboys	9.5	-115	-105	2	1631	TRUE	TRUE
10	New_Orleans_Saints	9.5	110	-130	2	1485	FALSE	FALSE
11	Miami_Dolphins	9.5	110	-130	2	1521	TRUE	TRUE
12	Detroit_Lions	9	-150	125	2	1527	FALSE	FALSE
13	Cleveland_Browns	8.5	-140	120	2	1485	FALSE	FALSE
14	Baltimore_Ravens	8.5	-140	120	2	1599	TRUE	TRUE
15	Seattle_Seahawks	8.5	-125	105	2	1455	TRUE	TRUE
16	Minnesota_Vikings	8.5	-115	-105	3	1534	TRUE	TRUE
17	Denver_Broncos	8.5	-115	-105	2	1379	FALSE	FALSE
18	Pittsburgh_Steelers	8.5	-105	-115	3	1519	FALSE	FALSE
19	New_York_Giants	8.5	110	-130	3	1508	TRUE	TRUE
20	Los_Angeles_Rams	7.5	-125	105	3	1469	FALSE	FALSE
21	New_England_Patriots	7.5	-115	-105	3	1500	FALSE	FALSE
22	Chicago_Bears	7.5	-115	-105	3	1332	FALSE	FALSE
23	Atlanta_Falcons	7.5	-115	-105	3	1331	FALSE	FALSE
24	Carolina_Panthers	7.5	-110	-110	3	1485	FALSE	FALSE
25	Tennessee_Titans	7.5	-105	-115	4	1465	FALSE	FALSE
26	Las_Vegas_Raiders	7.5	110	-130	4	1406	FALSE	FALSE
27	Green_Bay_Packers	7.5	110	-130	4	1515	FALSE	FALSE
28	Washington_Commanders	7.5	115	-135	4	1492	FALSE	FALSE
29	Indianapolis_Colts	6.5	-125	105	4	1381	FALSE	FALSE
30	Tampa_Bay_Buccaneers	6.5	-115	-105	4	1479	TRUE	TRUE
31	Houston_Texans	5.5	-110	-110	4	1307	FALSE	FALSE
32	Arizona_Cardinals	5.5	105	-125	4	1337	FALSE	FALSE